bfich,bfinh,bfioh,bfieh,bfiah,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
400,338,440,438,467,4.4,4.44,4.56,1.38,4.4,20,6,0,339,71,2,22,3.2
256,275,230,238,333,4,3.89,4.11,1.63,3.5,34,3,9,61,14,1,18,3.2
378,175,470,413,389,4.2,3.78,4.89,1.75,4.3,12,9,0,250,28,2,21,3.1
378,288,430,313,422,3.6,3.56,4.56,1.13,4.8,78,15,2,174,8,2,21,3.6
367,375,430,425,333,4.8,4.11,4,2.5,4,43,25,0,447,37,1,18,2.8
422,288,450,400,411,4.8,4.33,4.67,1.13,4.8,88,8,0,218,31,2,21,3.3
400,325,410,400,356,3.8,4,4.78,1.75,3.9,114,8,0,231,34,2,21,3.3
300,225,300,313,267,3.6,3.33,4.67,1.38,4.1,0,8,0,384,24,1,18,3.1
367,363,320,388,367,4.8,4.33,4.56,1.88,3.7,2,5,0,534,70,2,18,2.6
344,275,430,400,333,4,4,4.11,1.75,4.4,8,11,0,397,17,2,20,3
300,313,470,363,344,4.4,3.89,4.33,1.25,4.8,56,19,2,91,13,2,19,3.3
356,338,380,275,378,3.6,4.56,4.89,1.38,4.5,5,3,0,258,11,1,20,2.8
278,363,380,225,333,4.2,4.22,4.33,1.63,4.2,337,5,1,90,16,2,19,2.3
400,350,260,338,222,3.2,3.11,5,1.63,3.4,283,6,0,201,42,2,20,3.1
378,413,440,325,333,4.2,4.11,4.56,1.88,3.9,75,5,0,171,8,2,38,3.3
311,288,450,475,367,4.6,4.33,4.89,1.5,4.8,179,59,8,1453,57,2,21,3.6
289,213,350,263,389,4.4,3.89,4.89,1.75,4,73,4,0,100,7,1,19,3.1
400,250,330,388,367,4.6,4.56,4.78,1.25,3.9,73,9,0,334,9,1,19,3.6
378,425,370,200,411,4,4.11,4.33,2.25,4.3,17,6,0,66,13,2,19,2.7
222,338,310,338,267,4.4,3.89,4.56,1.38,4.4,47,38,2,194,59,2,19,3.2
256,388,350,325,333,4.4,4.22,4.44,1.5,4.4,73,1,0,298,33,2,18,3
333,238,330,313,411,3.6,3.67,4.11,1.5,3.1,8,4,0,102,10,1,20,3.4
489,288,490,413,311,4.2,3.89,4.89,1.88,4.6,22,26,4,297,22,2,19,3.4
311,325,450,338,333,4.2,4,4.44,1.88,3.8,28,13,0,406,16,2,20,3.4
378,213,440,263,300,4.4,3.22,4.78,1.38,4.7,1,2,0,79,5,1,18,3.6
278,188,340,338,356,3.8,4.33,4.56,1.75,4,0,3,0,163,24,2,18,2.7
389,438,280,263,344,4.4,4.22,4.44,1.25,3.4,26,6,1,94,17,2,19,3.1
322,275,270,325,344,4,3.56,4.33,1.88,4,14,4,1,241,12,1,20,2.8
389,375,490,325,333,4.2,3.56,4.44,2.5,4.7,16,22,0,561,67,2,19,3
200,450,380,413,367,4.6,4.67,4.78,1.5,4.5,66,3,2,308,37,2,19,3.3
311,338,390,350,256,4.4,4.33,4.33,1.75,4,28,15,0,242,25,2,19,2.8
367,325,350,400,356,3.8,3.89,4,1.75,3.9,48,2,0,136,47,2,21,3
456,275,230,200,311,3.4,3.33,4.67,1.88,2.3,0,1,0,56,12,1,18,3.1
289,388,440,400,322,4.2,4.22,4.22,1.38,4.5,83,33,0,419,24,2,19,3.8
256,325,300,425,267,4.2,3,3.78,2.25,3.6,177,29,0,407,23,2,20,3.1
422,400,290,263,367,4.2,4.44,4.78,1.88,4.1,3,5,0,129,35,2,18,1.9
200,413,240,338,322,4.4,3.89,4.11,1.5,3.9,38,2,4,151,19,2,20,2.9
344,275,240,175,344,4,4.56,4.89,1,4.6,18,3,0,138,21,2,19,2.9
289,250,300,263,356,4,3.33,4,2.13,3.5,13,1,2,147,9,1,21,2.8
300,213,420,438,400,4.8,3.89,4,1.88,4.6,6,5,0,403,19,1,19,3.3
322,288,250,400,300,4.6,4.22,4.78,1.88,4.1,24,6,5,310,22,2,20,3.5
200,413,450,338,322,4.2,4.56,4,1.88,4.8,32,2,3,581,74,2,21,2.5
289,338,360,263,289,3.6,4,4.33,1.88,4,5,6,0,126,13,2,20,2.6
378,300,350,388,344,4,3.67,4.78,2.38,3.7,28,15,1,185,7,2,20,3.7
