bfinh,bfioh,bfieh,bfiah,bfich,bfiae,bfiaa,bfiac,bfian,bfiao,wallposts,portraits,imp_avs,friends,likes_portrait,sex,age,selfesteem
225,380,250,311,289,3.8,4.22,3.67,1.13,4.2,73,2,0,157,11,2,20,2.8
325,400,375,333,211,3.6,3.89,4,2,3.6,323,28,98,72,8,1,19,2.5
363,410,375,344,278,4.2,4.78,4.44,1.88,4,51,10,1,283,16,2,22,3
275,400,300,367,333,4.4,3.56,4.89,1.75,4.6,21,2,0,146,28,2,18,3.4
300,410,375,378,356,4.6,3.33,3.44,2,4.8,17,2,2,215,14,1,23,2.6
250,410,325,333,422,4,4.11,4.56,1.5,4.1,14,2,0,57,16,2,18,3.7
225,440,350,289,289,4,3.44,4.33,2,4.3,68,12,0,82,260,2,21,3.6
400,470,413,178,211,4.4,3.22,4.33,1.88,4.7,80,12,0,490,46,2,19,2.9
463,240,263,222,344,2.8,4,4.78,1.38,3.1,11,4,0,116,22,2,18,2
288,410,300,389,289,3.8,4.11,4,2.38,4.5,1,2,1,14,11,1,20,2.7
300,390,375,278,344,4.4,3.44,4,1.75,3.4,267,42,1,410,27,2,19,2.3
425,280,313,322,389,4.2,3.44,4.78,1.88,3.7,68,15,1,332,38,2,19,3.2
238,440,450,400,367,4.6,4,4.67,1.13,4.2,13,13,2,669,33,2,22,3.7
350,470,238,311,289,4,4.44,4.56,1.88,4.7,0,3,0,124,14,1,19,2.9
225,330,438,278,333,4.8,3.33,3.78,1.88,3.9,97,21,0,215,36,2,17,3.4
200,360,238,433,267,4.2,4.56,4.78,1.5,3.7,36,6,3,209,13,2,21,2.7
275,340,288,400,333,4.4,3.89,4.67,1.88,4.5,144,12,0,143,10,2,19,2.4
425,450,338,178,333,3.6,3.56,4.56,1.38,4.7,72,13,0,436,64,2,20,2.88
338,390,450,422,356,4.6,3.78,4.11,1.5,4,116,10,0,554,41,2,19,2.5
125,460,463,411,356,4.4,3.89,4.22,1,4.4,933,19,1,1049,55,2,19,3.8
350,160,213,244,367,3.6,3.67,4.33,2,3,8,7,0,111,16,2,20,3.2
413,450,275,344,322,4.2,4,4.56,1.13,4,85,2,0,174,16,1,20,2.4
338,460,325,356,322,3.4,4.33,4.89,1.5,4.7,2230,36,0,209,22,2,20,3.5
225,380,425,367,378,4.2,4.78,4.22,1.25,4.2,1,3,0,212,36,2,18,3.9
275,370,413,322,278,4.8,4.44,4.11,1.5,3.8,29,4,0,537,61,2,20,2.6
363,490,475,356,456,4.2,4.11,4.67,1.13,4.7,183,29,2,901,16,2,21,3.2
238,380,388,344,389,4,3.67,4,2.13,3.6,345,32,7,536,49,2,21,2.9
300,330,300,222,411,3.8,3,4,1.88,4,16,2,0,113,15,2,21,3.2
238,300,313,411,311,4.2,4.11,4.67,1.88,3.9,2,6,0,260,8,1,20,2.9
263,430,363,322,189,4.4,3,5,1,4.5,2,13,9,244,7,1,20,2.5
225,370,475,289,356,4.8,3.67,4.11,1.63,4.1,32,17,0,306,20,2,17,3.3
313,460,350,411,433,4.6,4.44,4.67,1.25,4.7,32,4,0,256,46,2,19,3.8
275,470,388,267,378,4,2.33,4.11,2.88,5,286,44,0,217,11,2,18,3.6
288,280,313,344,344,4.2,4.33,4.67,2.38,3.7,5,15,0,352,23,1,19,2.8
213,390,363,411,444,4.4,4.33,4.78,1.63,4.2,235,40,4,239,19,2,22,3.7
125,420,413,422,444,4.2,4.44,4.67,1.13,4.3,12,2,0,531,25,1,18,3.8
238,310,300,244,289,3,2.22,3.33,1.75,3.6,6,3,0,80,8,1,19,2.9
238,390,400,411,422,4.2,4.44,4.78,1.5,4,82,27,0,270,49,2,20,3.2
300,240,313,322,367,4.2,4.22,4.67,1.25,3.9,3,2,1,166,9,2,18,2.9
300,410,338,411,256,3.8,3.89,4.67,1.63,4.3,15,7,1,224,17,1,20,3.6
263,270,225,378,311,3.8,3.67,3.67,2.5,3.6,8,2,0,144,34,2,21,2.7
188,400,338,367,289,4.2,3.78,4.67,1.63,3.9,4,6,0,187,31,2,20,3.4
300,380,400,333,333,4.2,4.22,4.56,1.88,3.6,47,39,0,315,18,2,20,2.9
